details,date,description,amount,type,balance,check
DEBIT,9/10/2021,SAM HILL OIL BRIGHTON CO 09/09,-49.14,DEBIT_CARD,3025.68,
CREDIT,9/10/2021,ATM CHECK DEPOSIT 09/09 411 E BROMLEY LN BRIGHTON CO,1285.74,ATM_DEPOSIT,3074.82,
DEBIT,9/9/2021,U-HAULSTORAGE PERFECT BROOMFIELD CO 09/08,-39.79,DEBIT_CARD,1789.08,
DEBIT,9/9/2021,NAME-CHEAP.COM WWW.NAMECHEAP AZ 09/09,-4.88,DEBIT_CARD,1828.87,
CHECK,9/7/2021,CHECK 5480,-1194.95,CHECK_PAID,1833.75,5480
DEBIT,9/7/2021,MILE HIGH ACE HARDWARE DENVER CO 09/04,-68.48,DEBIT_CARD,3028.7,
DEBIT,9/7/2021,U-HAUL MOVING & STORAGE THORNTON CO 09/04,-38.6,DEBIT_CARD,3097.18,
DEBIT,9/7/2021,ANGI LEADS 833-922-2897 CO 09/04,-439.28,DEBIT_CARD,3135.78,
CREDIT,9/7/2021,ORIG CO NAME,1725,ACH_CREDIT,3575.06,
DEBIT,9/3/2021,Online Transfer to MMA ...8707 transaction#,-132,ACCT_XFER,1850.06,
CREDIT,9/3/2021,ORIG CO NAME,640,ACH_CREDIT,1982.06,
DEBIT,9/2/2021,Online Transfer to MMA ...8707 transaction#,-500,ACCT_XFER,1342.06,
CHECK,9/2/2021,CHECK 5479,-769.5,CHECK_PAID,1842.06,5479
DEBIT,9/1/2021,PIONEER SAND CO HQ 08/25,-164.3,DEBIT_CARD,2611.56,
DEBIT,8/30/2021,Online Transfer to MMA,-500,ACCT_XFER,2775.86,
DEBIT,8/30/2021,NEXT INS. - GL WWW.NEXTINSUR CA 08/29,-121.25,DEBIT_CARD,3275.86,
DEBIT,8/30/2021,ANGI LEADS 833-922-2897 CO 08/27,-134.05,DEBIT_CARD,3397.11,
CREDIT,8/30/2021,ORIG CO NAME,350,ACH_CREDIT,3531.16,
CREDIT,8/30/2021,Credit Return,590,MISC_CREDIT,3181.16,
CREDIT,8/30/2021,ORIG CO NAME,1995,ACH_CREDIT,2591.16,
CHECK,8/27/2021,CHECK 5483,-200,CHECK_PAID,596.16,5483
CHECK,8/27/2021,CHECK 5482,-1120,CHECK_PAID,796.16,5482
CHECK,8/27/2021,ORIG CO NAME,-125,CHECK_PAID,1916.16,5477
DEBIT,8/26/2021,ORIG CO NAME,-200,ACH_DEBIT,2041.16,
DEBIT,8/26/2021,POS PORTAL 916-9934200 CA 08/23,-51.95,DEBIT_CARD,2241.16,
CREDIT,8/26/2021,ORIG CO NAME,505,ACH_CREDIT,2293.11,
DEBIT,8/25/2021,PIONEER SAND CO HQ 2122868600 CO 08/24,-222.8,DEBIT_CARD,1788.11,
CREDIT,8/25/2021,ORIG CO NAME,0.69,ACH_CREDIT,2010.91,
CREDIT,8/25/2021,ORIG CO NAME,509.52,ACH_CREDIT,2010.22,
DEBIT,8/24/2021,ORIG CO NAME,-1.34,ACH_DEBIT,1500.7,
DEBIT,8/24/2021,ORIG CO NAME,-275,ACH_DEBIT,1502.04,
DEBIT,8/24/2021,ANGI LEADS 08/23,-344.63,DEBIT_CARD,1777.04,
CREDIT,8/24/2021,ORIG CO NAME,0.45,ACH_CREDIT,2121.67,
CREDIT,8/24/2021,ORIG CO NAME,0.89,ACH_CREDIT,2121.22,
CREDIT,8/24/2021,ORIG CO NAME,582.57,ACH_CREDIT,2120.33,
DEBIT,8/23/2021,Online Transfer to MMA ...8707 transaction#,-190,ACCT_XFER,1537.76,
DEBIT,8/23/2021,ORIG CO NAME,-358,ACH_DEBIT,1727.76,
DEBIT,8/23/2021,SEI 37220 THORNTON CO 08/21,-45.86,DEBIT_CARD,2085.76,
DEBIT,8/23/2021,U-HAULTHORNTON SELF STG THORNTON CO 08/21,-54.03,DEBIT_CARD,2131.62,
DEBIT,8/23/2021,CHIPOTLE 0074 WESTMINSTER CO 08/20,-22.43,DEBIT_CARD,2185.65,
CREDIT,8/23/2021,ORIG CO NAME,1400,ACH_CREDIT,2208.08,
CHECK,8/20/2021,CHECK 5481,-590,CHECK_PAID,808.08,5481
DEBIT,8/20/2021,MERCURY ONE INC HTTPSMERCURYO TX 08/19,-100,DEBIT_CARD,1398.08,
DEBIT,8/20/2021,CRAIGSLIST.ORG 08/20,-7,DEBIT_CARD,1498.08,
DSLIP,8/19/2021,REMOTE ONLINE DEPOSIT # 1,430,CHECK_DEPOSIT,1505.08,1
DSLIP,8/19/2021,REMOTE ONLINE DEPOSIT # 1,750,CHECK_DEPOSIT,1075.08,1
DEBIT,8/18/2021,ORIG CO NAME,-45.23,ACH_DEBIT,325.08,
DEBIT,8/18/2021,Online Payment,-590,BILLPAY,370.31,
DEBIT,8/18/2021,ORIG CO NAME,-0.69,ACH_DEBIT,960.31,
DEBIT,8/17/2021,INTUIT * CL.INTUIT.COM CA 08/16,-12.5,DEBIT_CARD,961,
DEBIT,8/16/2021,COUNTER CHECK,-8,FEE_TRANSACTION,973.5,
CHECK,8/16/2021,CHECK 5476,-446.75,CHECK_PAID,981.5,5476
CHECK,8/16/2021,CHECK 5475,-446.75,CHECK_PAID,1428.25,5475
DSLIP,8/16/2021,DEPOSIT ID NUMBER 199391,320,DEPOSIT,1875,
DEBIT,8/13/2021,WITHDRAWAL 08/13,-350,MISC_DEBIT,1555,
DSLIP,8/13/2021,DEPOSIT,300,DEPOSIT,1905,
DSLIP,8/12/2021,DEPOSIT,1605,DEPOSIT,1605,
